Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Interferon Gamma Signaling,3/99,1.3765887521568278e-05,0.000102314028876521,0,0,88.8125,994.1064611567896,JAK2;PML;JAK1
PI3K AKT Signaling in Cancer,3/110,1.888679898099928e-05,0.00013668078209933687,0,0,79.63818424566088,866.2283006336379,HGF;ERBB2;MDM2
Interleukin-15 Signaling,2/14,2.04094503025842e-05,0.00014031497083026638,0,0,416.2083333333333,4494.8471043704,STAT3;JAK1
Regulation of IFNG Signaling,2/14,2.04094503025842e-05,0.00014031497083026638,0,0,416.2083333333333,4494.8471043704,JAK2;JAK1
IL-6-type Cytokine Receptor Ligand Interactions,2/17,3.047775949307404e-05,0.00020442399659988683,0,0,332.9166666666667,3461.838398540365,JAK2;JAK1
Respiratory Syncytial Virus Infection Pathway,3/133,3.334149090079373e-05,0.00021830738089805417,0,0,65.47252747252747,674.9371653505269,STAT2;IGF1R;JAK1
Signaling by KIT in Disease,2/20,4.254530034649759e-05,0.0002659081271656099,0,0,277.3888888888889,2791.9028448786567,STAT3;JAK2
"Signaling by Phosphorylated Juxtamembrane, Extracellular and Kinase Domain KIT Mutants",2/20,4.254530034649759e-05,0.0002659081271656099,0,0,277.3888888888889,2791.9028448786567,STAT3;JAK2
RAF-independent MAPK1 3 Activation,2/23,5.660726002642441e-05,0.0003459000813745665,0,0,237.72619047619048,2324.813162697444,JAK2;JAK1
Regulation of TP53 Activity,3/160,5.7859649975382025e-05,0.0003459000813745665,0,0,54.13921747042766,528.2628897473734,HDAC1;MDM2;PML
Growth Hormone Receptor Signaling,2/24,6.173695322587491e-05,0.000361226853981183,0,0,226.9090909090909,2199.345382715804,STAT3;JAK2
Regulation of IFNA IFNB Signaling,2/25,6.70875366203682e-05,0.0003843556785541928,0,0,217.0326086956522,2085.577517249696,STAT2;JAK1
SUMO E3 Ligases SUMOylate Target Proteins,3/170,6.929513686485347e-05,0.00038890127832315725,0,0,50.87168520102652,487.2050390377146,HDAC1;MDM2;PML
SARS-CoV Infections,4/498,7.079005473277629e-05,0.0003893453010302696,0,0,26.31039136302294,251.41662827732443,HDAC1;STAT2;JAK2;JAK1
SUMOylation,3/176,7.681948834931392e-05,0.0004142227312953202,0,0,49.09248554913295,465.1047704969845,HDAC1;MDM2;PML
Interleukin Receptor SHC Signaling,2/27,7.845066309954509e-05,0.0004148833144687481,0,0,199.65,1887.2995610426367,JAK2;JAK1
Signaling by ALK,2/30,9.7147588503534e-05,0.0004947330896013306,0,0,178.23214285714286,1646.7365311362207,HDAC1;STAT3
Regulation of TP53 Activity Through Acetylation,2/30,9.7147588503534e-05,0.0004947330896013306,0,0,178.23214285714286,1646.7365311362207,HDAC1;PML
