Feature,Fisher Score,Normalized Fisher Score
LOC285819,0.021490032908083424,0.0487478789844616
LOC285889,0.017171268997385337,0.010619656614058849
STK24,0.02900883271092612,0.11512762948001204
SSBP1,0.04203895372633847,0.23016409867857837
PCBP1-AS1.1,0.021798852679471903,0.051474295421977304
MEIOC,0.02563171589777774,0.08531274182116479
LOC339539,0.02200832908862368,0.05332365863669433
TMEM108-AS1,0.02347953597336732,0.06631221379142743
LOC101927660,0.03206288506546581,0.14209034143013557
LOC339874,0.03312798360633524,0.15149356764309538
RORA-AS1,0.05357186588535982,0.33198245422429973
LOC339988,0.05573097758689182,0.3510441794727271
LOC339988.1,0.04725210789971492,0.2761884486277196
LOC100507351,0.04036338110628229,0.2153712999110871
CHCHD5,0.018295851289321787,0.02054803533245915
FAM86B3P,0.025002850021968493,0.07976079722548594
LINC00862,0.020386840028753583,0.03900833677046407
LOC100289090,0.019216635844745197,0.028677185017499784
LOC101926948,0.02620020087288195,0.09033161342266953
CLYBL-AS2,0.04115022380947677,0.2223179434827841
LINC01545,0.022689322554322947,0.05933581184299817
IRGM,0.028752977367338034,0.11286880967955543
LINC00173,0.025444858640886393,0.08366307187170809
ETFBKMT,0.03656439687932802,0.1818319543061657
TMEM132B,0.0176731734997025,0.015050722277465714
ITPK1-AS1,0.04710079741126778,0.27485260344845525
AHNAK,0.022487866596003363,0.05755725720665315
CTBP1-AS,0.018230195973037603,0.01996839714179967
TNNT2,0.02012530769125963,0.036699397609349156
LOC284950,0.02533266724676471,0.08267258975423905
LRRC37A8P,0.032304378057214686,0.14422236315688158
LOC100507283,0.017168053620349018,0.010591269646588413
FHAD1,0.02219368838887097,0.05496010387065214
LOC400965,0.01652743015365795,0.004935523118469646
ERC1,0.026227435093214218,0.09057205083262868
RNF130,0.023255650377969346,0.06433563902527308
USP49,0.016920064960641766,0.008401900892433046
TREML4,0.01734814853133722,0.01218123820146276
A2M-AS1,0.05196728757064679,0.3178164289311469
LOC102724718,0.01619933533048013,0.0020389368184605384
LOC100630923,0.01948516076941268,0.031047858259062214
ZNF519.1,0.022292836410611666,0.055835432529195025
WDR49,0.018605850354934263,0.023284863173177815
ACTA2-AS1,0.01718419676132994,0.010733789423497873
LINC00330,0.0239850023986581,0.07077472590433066
ZNF568,0.03606967979789354,0.17746434281329262
CEBPZOS,0.028688694854270187,0.11230129128691815
P4HB,0.019135031880357756,0.027956744130985138
SNRK,0.02326251289244342,0.0643962247584361
ASB10,0.01710334862879646,0.010020021401163447
LOC286238,0.021654144134325082,0.05019673552235233
CDC42BPG,0.023308281824265278,0.06480029593394925
OFCC1.1,0.023607005309217697,0.06743757727116559
MGST1,0.045347805508227895,0.2593763082689356
DNAH6,0.019109728160545274,0.02773335015165259
LHX9,0.021363680427919356,0.0476323756690769
KMT2A.1,0.02280625959964965,0.06036819095881647
