Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
PI3K Akt Signaling WP4172,5/338,3.146097547137108e-07,4.522653537026756e-06,0,0,59.030030030030034,883.7936451577636,HGF;MDM2;JAK2;IGF1R;JAK1
PDGFR Beta Pathway WP3972,3/29,3.266360887852657e-07,4.522653537026756e-06,0,0,329.0769230769231,4914.572706459964,STAT3;JAK2;JAK1
IL17 Signaling WP2112,3/32,4.430337853550137e-07,5.696148668850176e-06,0,0,294.99014778325125,4315.5937082601,STAT3;JAK2;JAK1
Hepatitis B Infection WP4666,4/151,6.329085544961452e-07,6.931197528182282e-06,0,0,89.99092970521542,1284.435130229601,STAT2;STAT3;JAK2;JAK1
Interferon Mediated Signaling WP4558,3/37,6.931197528182282e-07,6.931197528182282e-06,0,0,251.54621848739492,3567.4443303750186,STAT2;JAK2;JAK1
IL5 Signaling WP127,3/37,6.931197528182282e-07,6.931197528182282e-06,0,0,251.54621848739492,3567.4443303750186,STAT3;JAK2;JAK1
Thymic Stromal Lymphopoietin TSLP Signaling WP2203,3/37,6.931197528182282e-07,6.931197528182282e-06,0,0,251.54621848739492,3567.4443303750186,STAT3;JAK2;JAK1
Type II Interferon Signaling WP619,3/38,7.523331246964077e-07,7.003398714457113e-06,0,0,244.3469387755102,3445.3130035611566,STAT2;JAK2;JAK1
EGF EGFR Signaling WP437,4/159,7.78155412717457e-07,7.003398714457113e-06,0,0,85.31182795698925,1200.0251416739293,ERBB2;STAT3;JAK2;JAK1
Catabolism Of Skeletal Muscle In Cachexia WP5474,3/40,8.806497495378952e-07,7.54842642461053e-06,0,0,231.1158301158301,3222.356925040817,STAT3;IGF1R;JAK1
IL11 Signaling WP2332,3/44,1.179262720025585e-06,9.648513163845696e-06,0,0,208.5261324041812,2846.511228799546,STAT3;JAK2;JAK1
IL26 Signaling WP5347,3/48,1.538445017339253e-06,1.204000448352459e-05,0,0,189.95238095238096,2542.4629238308867,STAT3;JAK2;JAK1
IL3 Signaling WP286,3/49,1.6383490128377577e-06,1.228761759628318e-05,0,0,185.8136645962733,2475.376476226603,STAT3;JAK2;JAK1
IL4 Signaling WP395,3/50,1.7424677736230126e-06,1.254576797008569e-05,0,0,181.8510638297872,2411.382965740782,STAT3;JAK2;JAK1
Notch Signaling WP61,3/54,2.202799850344505e-06,1.4452272381893218e-05,0,0,167.5546218487395,2182.529867964198,HDAC1;STAT3;JAK2
Interferon Type I Signaling WP585,3/54,2.202799850344505e-06,1.4452272381893218e-05,0,0,167.5546218487395,2182.529867964198,STAT2;STAT3;JAK1
TCA Cycle Nutrient Use And Invasiveness Of Ovarian Cancer WP2868,2/5,2.248131259405612e-06,1.4452272381893218e-05,0,0,1665.5833333333333,21661.596201528788,STAT3;JAK1
Oncostatin M Signaling WP2374,3/56,2.460474105043204e-06,1.5271908238199197e-05,0,0,161.2156334231806,2082.1251360620786,STAT3;JAK2;JAK1
Th17 Cell Differentiation Pathway WP5130,3/69,4.634746592591271e-06,2.7808479555547625e-05,0,0,129.37662337662337,1588.9945068435932,STAT3;JAK2;JAK1
Regulatory Circuits Of STAT3 Signaling WP4538,3/78,6.713763279208228e-06,3.8983141621209066e-05,0,0,113.8,1355.511734447514,STAT3;JAK2;JAK1
