Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Delta Np63 pathway,1/47,0.0232580526351399,0.0323955319134656,0,0,48.17391304347826,181.18709015535836,MDM2
ATM pathway,1/48,0.0237475721230066,0.0323955319134656,0,0,47.14657210401892,176.3411440394006,MDM2
Post-translational regulation of adherens junction stability and disassembly,1/48,0.0237475721230066,0.0323955319134656,0,0,47.14657210401892,176.3411440394006,IGF1R
Presenilin action in Notch and Wnt signaling,1/48,0.0237475721230066,0.0323955319134656,0,0,47.14657210401892,176.3411440394006,HDAC1
Energy metabolism,1/48,0.0237475721230066,0.0323955319134656,0,0,47.14657210401892,176.3411440394006,HDAC1
Malaria,1/51,0.0252148061968427,0.034199392312959,0,0,44.31111111111111,163.07924167915206,HGF
Interleukin-2 receptor beta chain in T cell activation,1/52,0.0257034430516592,0.034465980455634,0,0,43.4400871459695,159.03982037824832,JAK1
Endometrial cancer,1/52,0.0257034430516592,0.034465980455634,0,0,43.4400871459695,159.03982037824832,ERBB2
Non-small cell lung cancer,1/54,0.0266800555326239,0.0355734073768319,0,0,41.79664570230608,151.46431378315344,ERBB2
PI3K cascade,1/57,0.0281433225032358,0.0373136185997957,0,0,39.5515873015873,141.21677360109922,MDM2
HIV-1 Nef as negative effector of Fas and TNF,1/58,0.0286306380412391,0.0375379476540691,0,0,38.85575048732944,138.06527849839193,MDM2
Tryptophan metabolism,1/58,0.0286306380412391,0.0375379476540691,0,0,38.85575048732944,138.06527849839193,MDM2
Neurotrophic factor-mediated Trk receptor signaling,1/60,0.0296046094730556,0.0386004852797852,0,0,37.53483992467044,132.1160756075347,STAT3
Validated nuclear estrogen receptor alpha network,1/64,0.0315499162070124,0.040687323633087,0,0,35.14462081128748,121.46628828977606,HDAC1
Endothelins,1/64,0.0315499162070124,0.040687323633087,0,0,35.14462081128748,121.46628828977606,JAK2
Semaphorin interactions,1/66,0.0325212529076381,0.0412635251946375,0,0,34.05982905982906,116.68425597420442,ERBB2
Signaling by TGF-beta receptor complex,1/66,0.0325212529076381,0.0412635251946375,0,0,34.05982905982906,116.68425597420442,HDAC1
Endochondral ossification,1/66,0.0325212529076381,0.0412635251946375,0,0,34.05982905982906,116.68425597420442,IGF1R
G1 to S cell cycle control,1/67,0.0330065923938031,0.041433807473072,0,0,33.54208754208754,114.4136695514984,MDM2
Telomerase regulation,1/67,0.0330065923938031,0.041433807473072,0,0,33.54208754208754,114.4136695514984,HDAC1
Antiviral mechanism by interferon-stimulated genes,1/70,0.0344612964819566,0.04258045010336,0,0,32.07890499194847,108.03913520130236,JAK1
Renal cell carcinoma,1/70,0.0344612964819566,0.04258045010336,0,0,32.07890499194847,108.03913520130236,HGF
Long-term depression,1/70,0.0344612964819566,0.04258045010336,0,0,32.07890499194847,108.03913520130236,IGF1R
T cell receptor regulation of apoptosis,2/603,0.0347856223810985,0.0427316029082514,0,0,8.0653078202995,27.087748673824912,HDAC1;ERBB2
Rac1 cell motility signaling pathway,1/71,0.0349457600054768,0.0427316029082514,0,0,31.61904761904762,106.04896194083372,STAT3
Signaling by NOTCH1,1/73,0.0359140308301434,0.043603501724629,0,0,30.73765432098765,102.2527178173034,HDAC1
Integrins in angiogenesis,1/74,0.0363978383040335,0.043603501724629,0,0,30.315068493150687,100.4412761916998,IGF1R
Seven transmembrane receptor signaling through beta-arrestin,1/74,0.0363978383040335,0.043603501724629,0,0,30.315068493150687,100.4412761916998,MDM2
E2F transcription factor network,1/74,0.0363978383040335,0.043603501724629,0,0,30.315068493150687,100.4412761916998,HDAC1
Apoptosis regulation,1/78,0.038330883967986,0.0456873162446701,0,0,28.734487734487736,93.71751271850756,MDM2
Signaling events mediated by hepatocyte growth factor receptor (c-Met),1/79,0.0388135997677023,0.0460301987194862,0,0,28.36467236467237,92.15638325126108,HGF
Nuclear beta-catenin signaling and target gene transcription regulation,1/80,0.03929609749471,0.0463693950437578,0,0,28.0042194092827,90.63929849888726,HDAC1
SMAD2/3 nuclear pathway,1/82,0.0402604390785998,0.0472709632962665,0,0,27.310013717421125,87.73030443537515,HDAC1
Response to elevated platelet cytosolic calcium,1/83,0.0407422831141832,0.0475998951235012,0,0,26.97560975609756,86.33513767066536,HGF
Progesterone-mediated oocyte maturation,1/86,0.0421865092184754,0.0490444146579319,0,0,26.01960784313725,82.36909635390154,IGF1R
Disease,2/674,0.0426504099103873,0.0493406702884873,0,0,7.1867559523809526,22.67219119660805,STAT3;MDM2
HIF-1 degradation in normoxia,1/88,0.0431482391729825,0.0496730948527993,0,0,25.41890166028097,79.89449726957503,HDAC1
Neural crest differentiation,1/91,0.0445892046624482,0.0510827781569794,0,0,24.567901234567906,76.41264641223972,HDAC1
Downstream signaling events Of B cell receptor (BCR),1/98,0.047943865635835,0.0546606390824013,0,0,22.78694158075601,69.220448859451,MDM2
ERBB1 downstream pathway,1/106,0.0517647805964337,0.0587331164459536,0,0,21.04232804232804,62.30728596638391,STAT3
G alpha i pathway,1/108,0.0527178503782264,0.0595282903792412,0,0,20.64693665628245,60.75982922373895,STAT3
Signaling by EGFR in cancer,1/111,0.0541458386425502,0.0605612223679709,0,0,20.08080808080808,58.55712550002727,MDM2
Epidermal growth factor receptor (EGFR) pathway,1/111,0.0541458386425502,0.0605612223679709,0,0,20.08080808080808,58.55712550002727,ERBB2
Oocyte meiosis,1/113,0.0550967542198212,0.0610461689947315,0,0,19.72023809523809,57.16235353894127,IGF1R
mTOR signaling pathway,1/113,0.0550967542198212,0.0610461689947315,0,0,19.72023809523809,57.16235353894127,PML
Cell cycle checkpoints,1/117,0.0569960046670181,0.0628554070159639,0,0,19.03639846743295,54.53498142318387,MDM2
p53 activity regulation,1/118,0.0574702801377919,0.0630836563372972,0,0,18.872744539411205,53.909755696325554,MDM2
