Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GNF-Pf-2272 TTD 00008257,3/95,1.216079991293894e-05,0.0002979209951379347,0,0,92.69254658385093,1049.0286994545884,STAT3;MDM2;JAK2
WP1066 CTD 00004704,2/11,1.234519196297719e-05,0.0002979209951379347,0,0,555.0277777777778,6273.059307633597,STAT3;JAK2
DL-PHENYLALANINE BOSS,3/96,1.254978550947344e-05,0.0002979209951379347,0,0,91.69124423963132,1034.809684557288,ERBB2;STAT3;JAK2
Gefitinib BOSS,3/97,1.294690780331064e-05,0.0003008090068343664,0,0,90.7112462006079,1020.9236516163533,ERBB2;STAT3;IGF1R
rofecoxib CTD 00003631,3/99,1.3765887521568278e-05,0.0003131739411156783,0,0,88.8125,994.1064611567896,HGF;STAT3;PML
Crizotinib Kinome Scan,3/101,1.4618388261268432e-05,0.00031711483082334275,0,0,86.99125364431487,968.4936654111518,JAK2;IGF1R;JAK1
Cladribine TTD 00007218,2/12,1.4810308032958316e-05,0.00031711483082334275,0,0,499.5,5554.533471892794,MDM2;JAK2
Trifluridine TTD 00011552,2/12,1.4810308032958316e-05,0.00031711483082334275,0,0,499.5,5554.533471892794,MDM2;JAK2
Doxorubicin Hydrochloride,3/104,1.596140787437272e-05,0.0003351895653618272,0,0,84.3946251768034,932.1670555715071,STAT3;MDM2;JAK2
Dasatinib BOSS,3/106,1.690054201770089e-05,0.00034121984744700355,0,0,82.74757281553399,909.2439722339944,ERBB2;STAT3;JAK2
"benzo[g][1]benzofuran-8,9-dione CTD 00002819",2/13,1.749845371523095e-05,0.00034121984744700355,0,0,454.0681818181818,4973.589532784677,STAT3;JAK2
AZARIBINE CTD 00003341,2/13,1.749845371523095e-05,0.00034121984744700355,0,0,454.0681818181818,4973.589532784677,MDM2;JAK2
"7H-Pyrrolo[3,2-f]quinazoline-1,3-diamine TTD 00001311",2/13,1.749845371523095e-05,0.00034121984744700355,0,0,454.0681818181818,4973.589532784677,MDM2;JAK2
5-azacytidine CTD 00005455,4/352,1.821644910506701e-05,0.00034898881443391544,0,0,37.628352490421456,410.6451936124325,HGF;STAT3;MDM2;PML
hexachlorophene,3/111,1.9406329176942425e-05,0.0003653743355382953,0,0,78.89682539682539,856.0235573177982,ERBB2;STAT3;MDM2
emodin CTD 00005893,3/112,1.993520596343318e-05,0.0003689702527469328,0,0,78.16906946264744,846.0256558682161,STAT3;JAK2;JAK1
BMS-536924 TTD 00002497,2/14,2.04094503025842e-05,0.00037145199550703246,0,0,416.2083333333333,4494.8471043704,ERBB2;IGF1R
HG-5-113-01 LINCS,3/118,2.33092160910522e-05,0.0004172731798594919,0,0,74.06832298136646,790.0617465364868,JAK2;IGF1R;JAK1
staurosporine TTD 00011086,3/121,2.512885618342737e-05,0.0004425921121339143,0,0,72.17433414043583,764.4340070407663,STAT3;MDM2;JAK2
Trifluridine CTD 00006938,2/16,2.6899281719268e-05,0.0004582660821960921,0,0,356.7142857142857,3753.8510287252175,MDM2;JAK2
Ursolic acid TTD 00011746,2/16,2.6899281719268e-05,0.0004582660821960921,0,0,356.7142857142857,3753.8510287252175,HDAC1;MDM2
Dabrafenib LINCS,3/125,2.769740057229128e-05,0.0004582660821960921,0,0,69.79391100702576,732.4293060553069,ERBB2;JAK2;JAK1
Dabrafenib FDA,3/125,2.769740057229128e-05,0.0004582660821960921,0,0,69.79391100702576,732.4293060553069,ERBB2;JAK2;JAK1
ARSENIC CTD 00005442,5/853,2.9384390408361728e-05,0.0004789217063571793,0,0,22.57311320754717,235.5514964243192,STAT2;HGF;STAT3;MDM2;PML
trichostatin A BOSS,3/129,3.043326898667617e-05,0.0004887224960801526,0,0,67.56462585034014,702.6703638777341,HDAC1;STAT3;JAK2
Bortezomib CTD 00003736,5/878,3.377954193920345e-05,0.0005127669107400373,0,0,21.898052691867125,225.4548002156902,ERBB2;STAT3;MDM2;IGF1R;JAK1
CHEMBL603129 TTD 00006823,2/18,3.427837406961788e-05,0.0005127669107400373,0,0,312.09375,3208.634562990342,MDM2;JAK2
Vorinostat TTD 00011826,2/18,3.427837406961788e-05,0.0005127669107400373,0,0,312.09375,3208.634562990342,HDAC1;MDM2
teniposide TTD 00011380,2/18,3.427837406961788e-05,0.0005127669107400373,0,0,312.09375,3208.634562990342,MDM2;JAK2
pyrimethamine TTD 00010423,2/18,3.427837406961788e-05,0.0005127669107400373,0,0,312.09375,3208.634562990342,MDM2;JAK2
Crizotinib LINCS,3/136,3.5638777228879455e-05,0.0005259127666748157,0,0,63.98603651987111,655.3498659254672,JAK2;IGF1R;JAK1
Crizotinib FDA,3/138,3.722676623873943e-05,0.0005420217164360461,0,0,63.03174603174603,642.8281609211015,JAK2;IGF1R;JAK1
Vorinostat CTD 00003560,4/425,3.814405937906885e-05,0.0005431770679806536,0,0,30.98812351543943,315.2775234013341,HDAC1;ERBB2;MDM2;PML
Pinaflavol TTD 00010236,2/19,3.830094710119993e-05,0.0005431770679806536,0,0,293.72058823529414,2987.1489367888853,STAT3;JAK2
"BMS-536924,KIN001-126 LINCS",3/142,4.054105659077452e-05,0.0005675747922708433,0,0,61.205549845837616,618.983682361981,JAK2;IGF1R;JAK1
Crizotinib,3/147,4.494963951602156e-05,0.0006213291943227284,0,0,59.06547619047619,591.2435157473622,JAK2;IGF1R;JAK1
Dihydrorotenone CTD 00002010,2/21,4.701125562718392e-05,0.000633781372159072,0,0,262.7763157894737,2618.598440635737,MDM2;JAK2
IKK-2 Inhibitor IV (TPCA-1) MRC,2/21,4.701125562718392e-05,0.000633781372159072,0,0,262.7763157894737,2618.598440635737,JAK2;IGF1R
Crizotinib BOSS,2/22,5.1698634856081705e-05,0.0006884745032053807,0,0,249.625,2463.8185157826147,ERBB2;STAT3
