Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Negative Regulation of Growth (GO:0045926),1/115,0.10382037915026997,0.15573056872540494,0,0,9.6817738791423,21.93011820824504,PML
Regulation of JNK Cascade (GO:0046328),1/115,0.10382037915026997,0.15573056872540494,0,0,9.6817738791423,21.93011820824504,IGF1R
Intrinsic Apoptotic Signaling Pathway (GO:0097193),1/115,0.10382037915026997,0.15573056872540494,0,0,9.6817738791423,21.93011820824504,PML
Negative Regulation of Canonical Wnt Signaling Pathway (GO:0090090),1/117,0.10553218986031483,0.15723588019456305,0,0,9.51388888888889,21.39425541639034,DKKL1
Negative Regulation of Catabolic Process (GO:0009895),1/120,0.1080940988994387,0.15842239134320776,0,0,9.27264239028945,20.629340321197116,PML
Enzyme-Linked Receptor Protein Signaling Pathway (GO:0007167),1/121,0.10894652267626195,0.15842239134320776,0,0,9.194907407407408,20.38417308108671,AHI1
Negative Regulation of Cell Growth (GO:0030308),1/121,0.10894652267626195,0.15842239134320776,0,0,9.194907407407408,20.38417308108671,PML
Protein-Containing Complex Organization (GO:0043933),1/123,0.11064905538398992,0.15842239134320776,0,0,9.043260473588342,19.907758995082986,PML
Response to Cytokine (GO:0034097),1/123,0.11064905538398992,0.15842239134320776,0,0,9.043260473588342,19.907758995082986,PML
Regulation of Mitotic Cell Cycle (GO:0007346),1/124,0.11149916559804166,0.15842239134320776,0,0,8.969286359530262,19.676265858335118,PML
Regulation of Cell Motility (GO:2000145),1/126,0.11319707712106233,0.15842239134320776,0,0,8.82488888888889,19.22612297339285,PLXNA2
Protein Localization to Nucleus (GO:0034504),1/127,0.11404487972500815,0.15842239134320776,0,0,8.754409171075837,19.007251259887777,PML
Regulation of Anatomical Structure Morphogenesis (GO:0022603),1/127,0.11404487972500815,0.15842239134320776,0,0,8.754409171075837,19.007251259887777,STAT2
Negative Regulation of MAPK Cascade (GO:0043409),1/127,0.11404487972500815,0.15842239134320776,0,0,8.754409171075837,19.007251259887777,IGF1R
Protein Metabolic Process (GO:0019538),2/614,0.114188012653643,0.15842239134320776,0,0,3.723375624759708,8.079386112023887,GALNT11;CYP2U1
RNA Biosynthetic Process (GO:0032774),1/128,0.11489191444259662,0.15842239134320776,0,0,8.68503937007874,18.792370898346142,PTMA
Regulation of DNA Repair (GO:0006282),1/130,0.11658368279839468,0.15907021423424522,0,0,8.549526270456504,18.374179814597177,PML
Positive Regulation of DNA-templated Transcription (GO:0045893),3/1274,0.11679479693775663,0.15907021423424522,0,0,2.760129819040126,5.926928212711577,AHI1;STAT2;PTMA
Protein Targeting (GO:0006605),1/136,0.12164062665368479,0.1646598726653538,0,0,8.167078189300412,17.205455108167765,PML
Regulation of Protein Phosphorylation (GO:0001932),1/137,0.12248077981539765,0.16479232193344412,0,0,8.106617647058824,17.022285145241106,STAT2
protein-RNA Complex Assembly (GO:0022618),1/138,0.12332017162698487,0.1649221572360882,0,0,8.047039740470398,16.84222309997927,EIF4B
Protein Autophosphorylation (GO:0046777),1/140,0.12499667381420397,0.16517417611162666,0,0,7.930455635491607,16.491129921049026,IGF1R
Intracellular Calcium Ion Homeostasis (GO:0006874),1/140,0.12499667381420397,0.16517417611162666,0,0,7.930455635491607,16.491129921049026,PML
Synapse Organization (GO:0050808),1/144,0.12834057064036772,0.168589388651844,0,0,7.707070707070707,15.823139012008209,PLXNA2
Protein Glycosylation (GO:0006486),1/145,0.12917465122531172,0.1686868974824659,0,0,7.653163580246914,15.66288732334193,GALNT11
Negative Regulation of Wnt Signaling Pathway (GO:0030178),1/146,0.13000797566597042,0.1687822841979265,0,0,7.6,15.505212041401464,DKKL1
Positive Regulation of Metabolic Process (GO:0009893),1/147,0.13084054459791253,0.16887558663218943,0,0,7.547564687975647,15.35005527176854,IGF1R
Regulation of Cold-Induced Thermogenesis (GO:0120161),1/148,0.1316723586731457,0.16896684176553955,0,0,7.495842781557068,15.197360794380689,IGF1R
Epithelium Development (GO:0060429),1/159,0.1407726774531473,0.17960651950918796,0,0,6.970112517580872,13.665664679659873,AHI1
