ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
8169174,1,0.6089141,0.513263,-5.304,0.03682443,RNF128,"ring finger protein 128, E3 ubiquitin protein ligase"
8162744,1,0.6089292,-0.5132413,-5.304,-0.02777639,CORO2A,coronin 2A
7960878,1,0.6089881,0.5131568,-5.304,0.0221803,POU5F1P3///POU5F1P3,POU class 5 homeobox 1 pseudogene 3///POU class 5 homeobox 1 pseudogene 3
8172154,1,0.6091145,0.5129754,-5.304,0.01465946,RPS2,ribosomal protein S2
7982271,1,0.6091189,0.5129691,-5.304,0.02526663,GOLGA8M///GOLGA8K///GOLGA8T///GOLGA8J///GOLGA8IP,"golgin A8 family member M///golgin A8 family member K///golgin A8 family member T///golgin A8 family member J///golgin A8 family member I, pseudogene"
7912361,1,0.6091591,0.5129114,-5.304,0.01868811,MASP2,mannan binding lectin serine peptidase 2
8060796,1,0.6091818,-0.5128789,-5.304,-0.02895816,C20orf196,chromosome 20 open reading frame 196
8102039,1,0.6091845,0.512875,-5.304,0.03861638,SLC9B1,solute carrier family 9 member B1
8144315,1,0.6092337,-0.5128045,-5.304,-0.02375981,ARHGEF10,Rho guanine nucleotide exchange factor 10
8099670,1,0.6092539,-0.5127755,-5.304,-0.01566627,CCDC149,coiled-coil domain containing 149
7999435,1,0.6092977,0.5127125,-5.304,0.02155796,PRM2,protamine 2
8027701,1,0.6093121,-0.5126919,-5.304,-0.02654814,GRAMD1A,GRAM domain containing 1A
7932326,1,0.6093316,-0.5126639,-5.304,-0.02877409,CUBN,cubilin
8084067,1,0.6093605,-0.5126225,-5.304,-0.03258329,ACTL6A,actin like 6A
7934783,1,0.609368,0.5126117,-5.304,0.02727612,LRIT1,"leucine rich repeat, Ig-like and transmembrane domains 1"
8118207,1,0.6093972,0.5125699,-5.304,0.02580157,SNORA38,"small nucleolar RNA, H/ACA box 38"
7973004,1,0.6094684,-0.5124677,-5.304,-0.08901629,OR4Q3,olfactory receptor family 4 subfamily Q member 3
8078729,1,0.6094868,-0.5124413,-5.304,-0.03353611,MYD88,myeloid differentiation primary response 88
8079217,1,0.6095008,-0.5124213,-5.304,-0.02560612,ZNF35,zinc finger protein 35
8015262,1,0.6095078,-0.5124112,-5.304,-0.02992909,KRT33B,keratin 33B
8038949,1,0.609548,0.5123535,-5.304,0.04825603,ZNF841,zinc finger protein 841
8082400,1,0.6095573,0.5123401,-5.304,0.02626941,KBTBD12,kelch repeat and BTB domain containing 12
8081298,1,0.6095865,-0.5122983,-5.304,-0.04447051,ADGRG7,adhesion G protein-coupled receptor G7
8124562,1,0.6096045,0.5122725,-5.304,0.02583034,ZSCAN31,zinc finger and SCAN domain containing 31
7979510,1,0.6097882,0.512009,-5.305,0.03631734,SIX4,SIX homeobox 4
8045962,1,0.6098612,0.5119044,-5.305,0.02568508,TBR1,"T-box, brain 1"
8092800,1,0.6098708,0.5118905,-5.305,0.03383291,ATP13A4,ATPase 13A4
8175039,1,0.6100242,-0.5116706,-5.305,-0.04336589,ELF4,E74 like ETS transcription factor 4
8177554,1,0.6100572,-0.5116233,-5.305,-0.06820157,PMCHL2///PMCHL1,pro-melanin concentrating hormone like 2 (pseudogene)///pro-melanin concentrating hormone like 1 (pseudogene)
7910096,1,0.6102096,0.5114048,-5.305,0.02848081,,
7946015,1,0.6104403,-0.5110741,-5.305,-0.06324262,OR51A4,olfactory receptor family 51 subfamily A member 4
7913805,1,0.6104466,-0.511065,-5.305,-0.02730579,RUNX3,runt related transcription factor 3
8089627,1,0.6104646,-0.5110392,-5.305,-0.02847731,SPICE1,spindle and centriole associated protein 1
8037898,1,0.610563,0.5108982,-5.305,0.01960054,KPTN,"kaptin, actin binding protein"
8072687,1,0.6106244,-0.5108102,-5.305,-0.02862378,MCM5,minichromosome maintenance complex component 5
7970439,1,0.6106651,0.5107518,-5.305,0.02024806,GJA3,gap junction protein alpha 3
8088848,1,0.6106764,0.5107356,-5.305,0.02668149,PDZRN3,PDZ domain containing ring finger 3
8028524,1,0.6106895,-0.5107168,-5.305,-0.02369563,ACTN4,actinin alpha 4
8013696,1,0.610706,-0.5106932,-5.305,-0.02513116,KIAA0100,KIAA0100
7955142,1,0.6107113,0.5106857,-5.305,0.01681927,CACNB3,calcium voltage-gated channel auxiliary subunit beta 3
8109563,1,0.6107886,0.5105748,-5.305,0.02023264,NIPAL4,NIPA like domain containing 4
8022653,1,0.6109472,0.5103475,-5.305,0.04247964,PCAT18,prostate cancer associated transcript 18 (non-protein coding)
8086880,1,0.6109664,0.5103201,-5.305,0.02145753,CDC25A,cell division cycle 25A
8174509,1,0.6110164,0.5102484,-5.305,0.02626892,GNG5,G protein subunit gamma 5
8070073,1,0.6110775,0.5101609,-5.305,0.03005498,C21orf62,chromosome 21 open reading frame 62
8005106,1,0.6110815,-0.5101551,-5.305,-0.01565739,ZNF29P,"zinc finger protein 29, pseudogene"
8021183,1,0.6110912,-0.5101413,-5.305,-0.04130093,SCARNA17,small Cajal body-specific RNA 17
8049784,1,0.6112021,-0.5099823,-5.305,-0.0249685,PPP1R7,protein phosphatase 1 regulatory subunit 7
8069804,1,0.6112607,0.5098984,-5.305,0.0542666,KRTAP26-1,keratin associated protein 26-1
